control_id,iteration,fact_index,mover_score,is_found_binary,status,fact_text,evidence_found
148,1,1,0.8602,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased positively from 1963 to 451
148,1,2,0.5804,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,indicating a significant failure to meet contractual obligations while active incidents decreased positively
148,1,3,0.7035,0,INDICATED,7 incidents had critical severity,103 high and 7 critical)
148,1,4,0.7359,0,INDICATED,103 incidents had high severity.,low severity with 103
148,1,5,0.5937,0,MISSING,The majority of incidents had low severity.,within acceptable limits according to the revised
148,1,6,0.5729,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",a significant failure to meet contractual obligations while active incidents decreased
148,1,7,0.7238,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,0.0474** falling within acceptable limits according to the revised thresholds however the **sla attainment
148,1,8,0.7396,0,INDICATED,The average SLA was very low with 44.43%.,remains critically low at 44.43%** indicating a significant failure
148,1,9,0.5494,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,1598 incidents were closed (predominantly low severity with 103 high and 7
148,2,1,0.894,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents significantly decreased from 1963 to 451
148,2,2,0.5745,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,with an average non-compliance cost of 0.047 categorized as low severity while active incidents
148,2,3,0.5863,0,MISSING,7 incidents had critical severity,categorized as low severity
148,2,4,0.6081,0,INDICATED,103 incidents had high severity.,management process demonstrates high compliance
148,2,5,0.5969,0,MISSING,The majority of incidents had low severity.,the incident management process demonstrates high compliance
148,2,6,0.5749,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",a critical concern is the low sla adherence of
148,2,7,0.7294,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,of 0.047 categorized as low severity while active incidents
148,2,8,0.7682,0,INDICATED,The average SLA was very low with 44.43%.,concern is the low sla adherence of 44.43%
148,2,9,0.6065,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average resolution time of 21807.82 minutes to ensure contractual obligations are met
148,3,1,0.8103,0,INDICATED,Active incidents decreased from 1963 to 451.,incidents were significantly reduced from 1963 to 451
148,3,2,0.5704,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,directly impacting contractual obligations a remediation is required to investigate the root causes of the lengthy
148,3,3,0.7996,0,INDICATED,7 incidents had critical severity,and 7 critical severity incidents)
148,3,4,0.7336,0,INDICATED,103 incidents had high severity.,103 high and 7 critical severity
148,3,5,0.5833,0,MISSING,The majority of incidents had low severity.,is required to investigate the root causes
148,3,6,0.5702,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",a critical issue remains the consistently low sla adherence of
148,3,7,0.7276,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,0.0474** which falls within acceptable limits for a manager's overview active incidents were significantly
148,3,8,0.7429,0,INDICATED,The average SLA was very low with 44.43%.,the consistently low sla adherence of only **44.43%**
148,3,9,0.5931,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,causes of the lengthy average resolution time (approximately 15 days) to improve sla
148,4,1,0.9523,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreasing from 1963 to 451
148,4,2,0.5709,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,(110 incidents) incurring high or critical compliance costs especially considering the tunings for specific deviation types
148,4,3,0.5883,0,MISSING,7 incidents had critical severity,1598 incidents successfully closed
148,4,4,0.6058,0,INDICATED,103 incidents had high severity.,incident management demonstrated positive progress
148,4,5,0.5979,0,MISSING,The majority of incidents had low severity.,the overall average process compliance cost is low
148,4,6,0.5679,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",incident management demonstrated positive progress with active incidents
148,4,7,0.7379,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,the period the overall average process compliance cost is low at 0.0474
148,4,8,0.749,0,INDICATED,The average SLA was very low with 44.43%.,however sla adherence remains critically low at 44.43%
148,4,9,0.595,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,44.43% and the average time to resolve incidents is a lengthy 15.14
148,5,1,0.894,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents significantly decreased from 1963 to 451
148,5,2,0.5757,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,indicating strong process adherence after accounting for acceptable deviations like repetitive detections (1777
148,5,3,0.5913,0,MISSING,7 incidents had critical severity,operationally active incidents significantly decreased
148,5,4,0.6015,0,INDICATED,103 incidents had high severity.,incidents met their service level
148,5,5,0.5839,0,MISSING,The majority of incidents had low severity.,the overall process non-compliance cost is low
148,5,6,0.5662,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",indicating strong process adherence after accounting for acceptable deviations like repetitive detections (1777
148,5,7,0.725,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,is low at 0.0474 indicating strong process adherence after accounting
148,5,8,0.7326,0,INDICATED,The average SLA was very low with 44.43%.,however a critical issue remains as only 44.43%
148,5,9,0.547,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,(1653 instances) operationally active incidents significantly decreased from 1963 to 451
148,6,1,0.9029,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased substantially from 1963 to 451
148,6,2,0.5892,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management process shows a significant improvement in overall compliance reflected by a
148,6,3,0.5816,0,MISSING,7 incidents had critical severity,the incident management process
148,6,4,0.5926,0,MISSING,103 incidents had high severity.,process shows a significant improvement
148,6,5,0.6019,0,INDICATED,The majority of incidents had low severity.,the incident management process shows a significant
148,6,6,0.5707,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",remains critically low at 44.43% indicating a persistent failure
148,6,7,0.7424,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,0.047 placing it in the 'low' severity range for cost despite this adherence
148,6,8,0.7388,0,INDICATED,The average SLA was very low with 44.43%.,critically low at 44.43% indicating a persistent failure
148,6,9,0.5796,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average time to resolve incidents is still high at 15.14 days
148,7,1,0.8938,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased significantly from 1963 to 451
148,7,2,0.5716,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,and addressing specific bottlenecks causing these prolonged resolution times to ensure contractual obligations
148,7,3,0.5946,0,MISSING,7 incidents had critical severity,1598 incidents closed largely low severity
148,7,4,0.6135,0,INDICATED,103 incidents had high severity.,1598 incidents closed largely low severity
148,7,5,0.5839,0,MISSING,The majority of incidents had low severity.,the overall process non-compliance cost is low
148,7,6,0.5704,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",low at 0.0474 indicating strong adherence to defined process
148,7,7,0.725,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,although the overall process non-compliance cost is low at 0.0474 indicating
148,7,8,0.737,0,INDICATED,The average SLA was very low with 44.43%.,deviation exclusions) only 44.43% of incidents met their sla
148,7,9,0.6423,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average resolution time of approximately 15.14 days (21807.82 minutes) remediation should
148,8,1,0.5701,0,MISSING,Active incidents decreased from 1963 to 451.,discrepancy between 5 new and 1598 closed incidents
148,8,2,0.5838,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,a 0% rate for assigned-to-resolved-by suggests severe issues with incident ownership and handoffs
148,8,3,0.5852,0,MISSING,7 incidents had critical severity,critical operational performance metrics for
148,8,4,0.589,0,MISSING,103 incidents had high severity.,operational performance metrics for the
148,8,5,0.593,0,MISSING,The majority of incidents had low severity.,the incident management process shows a commendably low
148,8,6,0.5765,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",attainment and resolution times alongside an urgent review of incident ownership
148,8,7,0.7217,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,overall compliance cost of 0.0474 indicating strong adherence to process steps when accounting
148,8,8,0.755,0,INDICATED,The average SLA was very low with 44.43%.,period are unsatisfactory with only 44.43% of slas
148,8,9,0.6266,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,an average resolution time of over 15 days (21807.82 minutes) furthermore
148,9,1,0.7824,0,INDICATED,Active incidents decreased from 1963 to 451.,trend decreasing significantly from 1963 to 451
148,9,2,0.572,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the number of active incidents has shown a positive trend decreasing significantly from
148,9,3,0.6011,0,INDICATED,7 incidents had critical severity,of high or critical severity
148,9,4,0.6038,0,INDICATED,103 incidents had high severity.,451 within the reporting period
148,9,5,0.6095,0,INDICATED,The majority of incidents had low severity.,over half of all incidents are not
148,9,6,0.5738,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",to significantly improve sla compliance across all incidents
148,9,7,0.7222,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,measured by non-compliance cost is excellent at 0.0474 categorized
148,9,8,0.7646,0,INDICATED,The average SLA was very low with 44.43%.,the consistently low sla adherence rate of 44.43%
148,9,9,0.5502,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,only 6.88% of closed incidents were of high or critical severity however a critical
148,10,1,0.8103,0,INDICATED,Active incidents decreased from 1963 to 451.,incidents were significantly reduced from 1963 to 451
148,10,2,0.5795,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,indicating high adherence to the reference model with repetitive detection and awaiting deviations falling within
148,10,3,0.732,0,INDICATED,7 incidents had critical severity,incidents were closed (including 7 critical
148,10,4,0.711,0,INDICATED,103 incidents had high severity.,were closed (including 7 critical 103
148,10,5,0.5958,0,MISSING,The majority of incidents had low severity.,indicating high adherence to the reference model
148,10,6,0.5712,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",0.0474** indicating high adherence to the reference model with repetitive detection
148,10,7,0.7299,0,INDICATED,Average cost was 0.047 which is in the low process serverity range.,of 0.0474** indicating high adherence to the reference model with repetitive detection
148,10,8,0.7408,0,INDICATED,The average SLA was very low with 44.43%.,compliance only **44.43% of slas were
148,10,9,0.6729,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average time to resolve incidents of 21807.82 minutes (~15.14 days)** active
149,1,1,0.5894,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds furthermore 'activation' shows
149,1,2,0.6336,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,8h 10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds furthermore 'activation'
149,1,3,0.6402,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds furthermore 'activation' shows
149,1,4,0.6089,0,INDICATED,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,considered process errors significant non-compliance persists average durations for 'activation' (8d 18h 55min)
149,1,5,0.5938,0,MISSING,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,"and ""n*rc"" variants are not considered process errors significant non-compliance persists average durations for"
149,1,6,0.5827,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,'detection' and 544 missing 'activation' activities to ensure proper process initiation and logging
149,2,1,0.6331,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,critical issues persist with most states exceeding non-acceptable average durations 'detection' (4d 6h 35min)
149,2,2,0.6255,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,8h 10min) and 'resolution' (5d 22h 11min) furthermore 544 missing 'activation' activities 1990
149,2,3,0.6345,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) furthermore 544 missing 'activation' activities 1990 repetitive
149,2,4,0.6049,0,INDICATED,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,8h 10min) and 'resolution' (5d 22h 11min) furthermore 544 missing 'activation' activities 1990
149,2,5,0.5963,0,MISSING,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,remediation is required to enforce sequential process adherence particularly preventing direct 'detection'
149,2,6,0.5935,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,the incident management process exhibits significant non-compliance despite the re-interpretation of 'detection' and
149,3,1,0.5791,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,average 'awaiting' state duration of 16 days far exceeds the 10-day non-acceptable threshold
149,3,2,0.5785,0,MISSING,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,average 'awaiting' state duration of 16 days far exceeds the 10-day non-acceptable threshold
149,3,3,0.6258,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,average 'awaiting' state duration of 16 days far exceeds the 10-day non-acceptable threshold
149,3,4,0.5502,0,MISSING,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,average 'awaiting' state duration of 16 days far exceeds the 10-day non-acceptable threshold
149,3,5,0.5949,0,MISSING,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,the excessive average duration of the 'awaiting' state despite its external dependency as it critically impacts
149,3,6,0.589,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,the incident management process exhibits significant compliance issues critical deviations include frequent missing
149,4,1,0.644,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,the cost metric average state durations remain critically high for 'detection' (4d 6h 35min)
149,4,2,0.6326,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,8h 10min) and 'resolution' (5d 22h 11min) all significantly exceeding non-acceptable thresholds critical
149,4,3,0.6383,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) all significantly exceeding non-acceptable thresholds critical process deviations
149,4,4,0.6073,0,INDICATED,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,average state durations remain critically high for 'detection' (4d 6h 35min) 'activation' (8d
149,4,5,0.5972,0,MISSING,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,a critical level of non-compliance based on the cost metric average state durations remain critically high
149,4,6,0.5793,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,these persistent prolonged state durations and critical deviations particularly focusing on 'detection' 'activation' and 'resolution' to enforce process adherence
149,5,1,0.6415,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,critical bottlenecks persist in core process states average durations for detection (4d 6h 35min)
149,5,2,0.6273,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,persist in core process states average durations for detection (4d 6h 35min) activation (8d
149,5,3,0.6313,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,persist in core process states average durations for detection (4d 6h 35min) activation (8d
149,5,4,0.6032,0,INDICATED,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,in core process states average durations for detection (4d 6h 35min) activation (8d
149,5,5,0.6019,0,INDICATED,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,the incident management process shows moderate compliance with significant performance issues
149,5,6,0.5955,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,the incident management process shows moderate compliance with significant performance issues while recent clarifications mitigate concerns
149,6,1,0.6226,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,(a 115) and 'resolution' (r 45) all critically surpassing acceptable thresholds furthermore average durations for 'detection' (4d 6h)
149,6,2,0.613,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,(16d 8h) and 'resolution' (5d 22h) are critically prolonged indicating severe bottlenecks urgent
149,6,3,0.6159,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,(r 45) all critically surpassing acceptable thresholds furthermore average durations for 'detection' (4d 6h) 'activation' (8d
149,6,4,0.5993,0,MISSING,Average transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,(16d 8h) and 'resolution' (5d 22h) are critically prolonged indicating severe bottlenecks urgent
149,6,5,0.6019,0,INDICATED,The potentially non-compliant detection→awaiting transition is explained by merging into an existing awaiting incident.,the incident management process exhibits critical non-compliance with a calculated cost
149,6,6,0.5897,0,MISSING,The potentially non-compliant detection→resolution transition is explained by temporary whitelisting and merging into already resolved cases.,the incident management process exhibits critical non-compliance with a calculated cost of 140.04 significantly exceeding the critical threshold
